Waktu,id,Username,Text;
"2021-06-16 02:28:24,1404989205336391681,Ilham Akmal Rafi Pramudya,""b'RT @KAI121: Keberhasilan dalam kehidupan, hanya bisa didapatkan ketika ada kemauan dan berjuang dengan keras.\n\nSelamat pagi, #SahabatKAI\n\n#\xe2\x80\xa6'""";
2021-06-16 02:15:10,1404985876296482817,Andrew,b'RT @jamaladiwibowo: Pagi akan kembali pagi... Awali pagi dengan semangat....\n#selamatpagi #pagi #wonderfulindonesia  #love #kopi #kopipagi\xe2\x80\xa6';
2021-06-16 02:02:19,1404982640256638977,Agustina D.W.,b'Silly Me\n.\n.\n.\n.\n.\n#amazingplaces #beatifuldestinations #hijabstyle #hijabootd #hijabtraveller #vacation #traveling\xe2\x80\xa6 https://t.co/PdHwnMnOlr';
"2021-06-16 01:36:11,1404976065265639427,No Name to R,""b'RT @KAI121: Keberhasilan dalam kehidupan, hanya bisa didapatkan ketika ada kemauan dan berjuang dengan keras.\n\nSelamat pagi, #SahabatKAI\n\n#\xe2\x80\xa6'""";
2021-06-16 01:34:57,1404975754950103047,JAMSE_AW86,b'Pagi akan kembali pagi... Awali pagi dengan semangat....\n#selamatpagi #pagi #wonderfulindonesia  #love #kopi\xe2\x80\xa6 https://t.co/sRqD9traxJ';
"2021-06-16 01:29:41,1404974426756587525,adie n,""b'RT @KAI121: Keberhasilan dalam kehidupan, hanya bisa didapatkan ketika ada kemauan dan berjuang dengan keras.\n\nSelamat pagi, #SahabatKAI\n\n#\xe2\x80\xa6'""";
"2021-06-16 01:07:10,1404968760029548545,Pariaman Tourism,""b'Pagi-pagi biar lebih semangat liatin yang seger-seger dulu yuk\xf0\x9f\x98\x8d\n\nPantai Binasi, Desa Marunggi, Kecamatan Pariaman S\xe2\x80\xa6 https://t.co/HoYyE5c6NN'""";
"2021-06-16 01:01:02,1404967219390386178,•𝓦𝓲𝓴𝓪,""b'RT @KAI121: Keberhasilan dalam kehidupan, hanya bisa didapatkan ketika ada kemauan dan berjuang dengan keras.\n\nSelamat pagi, #SahabatKAI\n\n#\xe2\x80\xa6'""";
"2021-06-16 00:18:49,1404956595008675841,Aluqman_bj,""b'RT @KAI121: Keberhasilan dalam kehidupan, hanya bisa didapatkan ketika ada kemauan dan berjuang dengan keras.\n\nSelamat pagi, #SahabatKAI\n\n#\xe2\x80\xa6'""";
"2021-06-16 00:07:58,1404953862650294276,D H A N I,""b'RT @KAI121: Keberhasilan dalam kehidupan, hanya bisa didapatkan ketika ada kemauan dan berjuang dengan keras.\n\nSelamat pagi, #SahabatKAI\n\n#\xe2\x80\xa6'""";
